NID,Body,Summary,Category
"33746","<p>Plans to create an all year round night shelter for rough sleepers, protect services to help people affected by domestic violence and improve the city’s cycling network are among proposals being put to councillors next week.</p>

<p>The council’s budget for 2019/20 will be debated on 28 February 2019 at Hove Town Hall. Ahead of the annual budget meeting, the revised budget proposals from the administration are being shared at PRG on Thursday 14 February.</p>

<p>The proposals include an update on the financial position now more information is available about the year end finances and the local government settlement is confirmed.&nbsp;</p>

<p>Cllr Dan Yates, leader of the council, said: “We’re in a strong financial position at the end of our four year budget cycle. We can now improve on our initial budget proposals and provide more for the city.&nbsp;</p>

<p>“There is an additional £375,000 in these proposals due to careful financial management.&nbsp;</p>

<p>""We’ve planned further ahead than many other councils around the country and we’ve been able to protect more services than elsewhere as a result. We’re taking a compassionate approach to the needs of the city during this uncertain economic time and we will continue to do so.”&nbsp;</p>

<p>The <a href=""https://present.brighton-hove.gov.uk/ieListDocuments.aspx?CId=912&amp;MId=8110&amp;Ver=4"">revised proposals</a> include:</p>

<ul>
	<li>Investment of £250,000 to support a night shelter, open all year round, for people who are rough sleeping</li>
	<li>Protecting funding for services for those affected by violence against women and girls (savings of £50,000 from the earlier proposals have been withdrawn)</li>
	<li>Investing £75,000 to develop a local cycling &amp; walking infrastructure plan to support necessary projects, improve the network and promote active travel.</li>
</ul>

<p>All 53 councillors will meet to debate and set the budget for 2019/20 at <a href=""https://present.brighton-hove.gov.uk/ieListDocuments.aspx?CId=117&amp;MId=8152&amp;Ver=4"">Budget Council</a> at the end of month. This will include setting the council tax levels for the year ahead.&nbsp;</p>

<p>&nbsp;More information about the <a href=""https://www.brighton-hove.gov.uk/content/council-and-democracy/council-finance/current-council-budget"">council budget, income and cost of our services</a> is on our website.&nbsp;<br />
&nbsp;&nbsp;<br />
&nbsp;</p>
","An all year round night shelter for rough sleepers, protecting services to help people affected by domestic violence and improving the city’s cycling network are among budget proposals for the financial year ahead.  ","Council and democracy"
"33906","<p>Local elections will be taking place in Brighton &amp; Hove on Thursday 2 May to elect <a href=""https://www.brighton-hove.gov.uk/sites/brighton-hove.gov.uk/files/ward-map-dec-2018.pdf"">54 ward councillors</a>.</p>

<p>All eligible residents of the city who are registered by Friday 12 April will be able to vote in these elections.</p>

<p>Residents will be receiving a letter showing the electoral information we currently hold for your household.</p>

<h2>What do you need to do?</h2>

<p>Check the information on the front of the form which lists the current occupants of the property who are registered to vote.</p>

<ul>
	<li><strong>If any changes are required</strong>, please read the instructions and take the appropriate action as soon as possible.</li>
	<li><strong>If the information is correct</strong>, you do not need to do anything.</li>
</ul>

<h2>Find out more</h2>

<p>For more information about the upcoming local election, how to register to vote, applying for a postal or proxy vote, or how&nbsp;to stand as a candidate, please go to the <a href=""https://www.brighton-hove.gov.uk/vote"">elections pages on our website</a>.</p>

<p>&nbsp;</p>

<p>&nbsp;</p>
","Residents will receive a letter asking you to confirm if the electoral register information for your household is correct. ","Council and democracy"
"34241","<h2>Top facts</h2>

<ul>
	<li>Councillors will soon meet to decide funding for more than 700 council services and the council tax rate for the year ahead</li>
	<li>Budget proposals include an increase of council tax of 2.99%</li>
	<li>All current councillors can debate and vote on the budget proposals on Thursday 28 February</li>
</ul>

<h2>Budget decision time</h2>

<p>The council’s biggest annual financial decision will be made later this month.&nbsp;</p>

<p>Councillors will meet at Hove Town Hall to decide the council budget for the financial year starting on 1 April.&nbsp;</p>

<p>The council budget funds more than 700 services for people living and working in Brighton &amp; Hove. It currently costs just under £2.1 million every day to run our services.</p>

<p>The budget proposals for the year ahead continue to look at ways to invest in the city amid wide ranging reductions in government funding. The impact of reducing government grants on local councils has been widely reported across the country.</p>

<p>Cllr Dan Yates, leader of the council, said: “We knew when we took over responsibility for the council that there were tough times ahead. Over the last four years we’ve taken the difficult decisions required to make sure we have protected services for the most vulnerable in the city.</p>

<p>“These proposals reflect a clear grasp of the financial situation combined with a determination to reinvest in key services. It’s an ongoing challenge to meet increasing demand for services as costs rise and funding falls.”</p>

<h3>Background to the budget 2019/20</h3>

<ul>
	<li>The budget proposals for 2019/20 are the final stage in our four year budget plan.&nbsp;</li>
	<li>Total savings of around £69 million will have been delivered over the four year period to provide the necessary re-investment in services alongside taxation increases.</li>
	<li>Budget Proposals for 2019/20 include:</li>
	<li>The proposals include recommendations to invest in priority services, including adult social care, children’s social care and other services to combat inequality.</li>
	<li>Children’s Social Care: A total of £54million&nbsp;</li>
	<li>Adult Social Care including Learning Disability Services: A total of £92.6million</li>
	<li>Field Officer Service, providing help across the city: A total of £312,000</li>
	<li>Homelessness and rough sleeping services: For the year ahead £10.6million is proposed for these services. This includes £250,000 for an all year round night shelter for rough sleepers and £250,000 to expand options to support people in emergency and temporary accommodation.&nbsp;</li>
</ul>

<h3>Funding our services</h3>

<ul>
	<li><a href=""https://www.brighton-hove.gov.uk/content/council-and-democracy/council-finance/behind-budget"">Behind the budget – questions we’re often asked</a></li>
	<li><a href=""https://www.brighton-hove.gov.uk/content/council-and-democracy/council-finance/cost-our-services-201819"">Find out how the budget is currently spent on different services</a></li>
</ul>

<h3>Council tax</h3>

<p>In common with many local authorities, the budget proposals for 2019/20 require an increase of council tax contributions to&nbsp;the council of 2.99%, largely in light of the increasing demand for social care and reducing grants.&nbsp;</p>

<p>This would mean the average Band D Council Tax contribution to the council would rise by £46.38 to £1,595.45 in 2019/20.<br />
<br />
The full amount for the average Band D Council tax for 2019/20 will be £1,879.03 (a rise of £73.05 from the year before). This includes £189.91&nbsp;for the Sussex Police &amp; Crime Commissioner and £ 93.67 for the East Sussex Fire Authority.</p>

<h3>Find out more</h3>

<p><a href=""https://present.brighton-hove.gov.uk/ieListDocuments.aspx?CId=117&amp;MId=8152&amp;Ver=4"">The full budget proposals can be read on our website</a></p>

<p>The budget will be debated by all councillors on Thursday 28 February at Hove Town Hall. At the meeting, opposition councillors present and debate any amendments to the proposals they choose to submit.</p>

<p>Find out more information about our budget, including a timeline for the budget setting process, at <a href=""https://www.brighton-hove.gov.uk/content/council-and-democracy/council-finance/current-council-budgetwww.brighton-hove.gov.uk/bhbudget"">www.brighton-hove.gov.uk/bhbudget</a><br />
&nbsp;</p>
","The council’s biggest annual financial decision will be made later this month when councillors meet to debate the council budget for the financial year ahead. ","Council and democracy"
"34246","<p><strong>Update (25 February):</strong> This news story has been updated to include Councillor Warren Morgan leaving the Labour Group</p>

<p>On 20 February, Councillor Anne Meadows announced that she was leaving the Labour Group and joining the Conservative Group. This changes the balance of seats held on the council.&nbsp;</p>

<p>On 22 February, Councillor Warren Morgan announced that he was leaving the Labour Group. He has since joined with Councillor Michael Inkpin-Leissner to form The Independent Group at Brighton &amp; Hove City Council.</p>

<h2>Distribution of councillors</h2>

<p>(as of 22 February 2019)</p>

<div class=""table-responsive"">
<table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width: 100%;"">
	<thead>
		<tr>
			<th scope=""col"">Party</th>
			<th scope=""col"">Number of councillors</th>
		</tr>
	</thead>
	<tbody>
		<tr>
			<td>Conservative Group</td>
			<td>21</td>
		</tr>
		<tr>
			<td>Labour &amp; Cooperative Group</td>
			<td>19</td>
		</tr>
		<tr>
			<td>Green Group</td>
			<td>11</td>
		</tr>
		<tr>
			<td>Independent Group</td>
			<td>2</td>
		</tr>
		<tr>
			<td>Vacant</td>
			<td>1</td>
		</tr>
		<tr>
			<td>Total</td>
			<td>54</td>
		</tr>
	</tbody>
</table>
</div>

<p>&nbsp;</p>

<p>The current political leadership arrangements continue for now. Under our constitution, any change in leadership can only take effect following a decision at a meeting of the Full Council when all currently elected councillors agree who forms the administration and who is voted to be Leader of the Council. Councillors decide whether and at which meeting the business is discussed.</p>

<p>Subject to the will of councillors, the day to day operation of services to the public will remain unchanged in the short term. Council officers will continue to use their delegated powers to ensure a consistent service.</p>
","Councillor Anne Meadows announced that she is leaving the Labour Group and joining the Conservative Group. Councillor Warren Morgan also announced he is leaving the Labour Group.","Council and democracy"
"34786","<h2>Top facts</h2>

<ul>
	<li>The Brighton &amp; Hove City Council budget for 2019/20 has been set</li>
	<li>Councillors decided how to allocate more than £900million&nbsp;</li>
	<li>The budget includes an increase of the council’s element of council tax of 2.99 per cent</li>
</ul>

<h2>Priorities</h2>

<p>The Brighton &amp; Hove City Council budget for 2019/20 has been set at Budget Council today (Thursday 28 February).</p>

<p>The council provides more than 700 services residents see or use every day. It currently costs just under £2.1 million to run our council services every day.</p>

<p><strong>This budget has prioritised:&nbsp;</strong></p>

<ul>
	<li>Children’s Services: A total of £54million, including £46.2m for children’s social care&nbsp;</li>
	<li>Adult Social Care including Learning Disability Services: A total of £92.6million</li>
	<li>Field Officer Service, providing help across the city: A total of £312,000</li>
	<li>Homelessness and rough sleeping services: A total of £10.6million for these services, including £250,000 for an all year round night shelter for rough sleepers and £250,000 to expand options to support people in emergency and temporary accommodation</li>
	<li>Cityclean refuse and recycling: A total of £27.7million, with more than £1 million allocated for specific support within the service in the year ahead&nbsp;</li>
</ul>

<p>Cllr Dan Yates, leader of the council, said: “This is a difficult time for local government in the face of ongoing cuts from central government. Since 2010 more than £100 million has been removed from the core government grants for our council.&nbsp;</p>

<p>“We knew when we took administration of the council that there were tough times ahead. Over the last four years we’ve taken the difficult decisions required to make sure we have protected services for the most vulnerable in the city. It’s an ongoing challenge to meet increasing demand for services as costs rise and funding falls.</p>

<p>“This is a time to look forwards to the future and continue with the vital work of protecting services for all residents.”</p>

<h2>Amendments</h2>

<p>While there is much debate about amendments to the main budget, the proposed permanent budget amendments combined amounted to just 0.2% of the Gross General Fund budget (£1.451m out of a total £761.647m).</p>

<p>On the night, following debate and an adjournment, the amendments were revised. New&nbsp;versions were&nbsp;put forward for councillors to vote on. These revised versions passed with Labour Group and Green Group support. &nbsp;The budget as amended was then put to the vote and passed.&nbsp;</p>

<h2>Council tax</h2>

<p>In common with many local authorities, the budget includes an increase of council tax of 2.99%, largely in light of the increasing demand for social care and reducing grants.&nbsp;</p>

<p>This means the average Band D Council Tax contribution to the council would rise by £46.38 to £1,595.45 in 2019/20.</p>

<div class=""table-responsive"">
<table border=""1"" cellpadding=""1"" cellspacing=""1"" class=""table"" style=""width: 100%;"">
	<tbody>
		<tr>
			<td>
			<p>&nbsp;</p>
			</td>
			<td style=""width: 75px;"">2019/20 Band D Council Tax</td>
			<td style=""width: 1px;"">Change on 2018/19</td>
			<td>Percentage change</td>
		</tr>
		<tr>
			<td><strong>Brighton &amp; Hove City Council</strong></td>
			<td style=""width: 75px;""><strong>£1,595.45</strong></td>
			<td style=""width: 1px;""><strong>£46.38</strong></td>
			<td><strong>2.99%</strong></td>
		</tr>
		<tr>
			<td>Sussex Police &amp; Crime Commissioner</td>
			<td style=""width: 75px;"">£189.91</td>
			<td style=""width: 1px;"">£24.00</td>
			<td>14.47%</td>
		</tr>
		<tr>
			<td>East Sussex Fire Authority</td>
			<td style=""width: 75px;"">£93.67</td>
			<td style=""width: 1px;"">£2.67</td>
			<td>2.93%</td>
		</tr>
		<tr>
			<td><strong>Total for Brighton and Hove residents</strong></td>
			<td style=""width: 75px;""><strong>£1,879.03</strong></td>
			<td style=""width: 1px;""><strong>£73.05</strong></td>
			<td><strong>4.04%</strong></td>
		</tr>
	</tbody>
</table>
</div>

<p>Note: We only set our share of the council tax. The full amount for the average Band D Council tax for 2019/20 will be £1,879.03 (a rise of £73.05 from the year before). This includes £189.91 for the Sussex Police &amp; Crime Commissioner and £ 93.67 for the East Sussex Fire Authority.</p>

<p><a href=""https://www.brighton-hove.gov.uk/content/council-and-democracy/council-finance/current-council-budget"">Find out more on our budget web page</a></p>

<h2>Additional information</h2>

<ul>
	<li>The council’s gross revenue budget, which covers council services, is more than £760million</li>
	<li>The capital programme budget of more than £160million includes investment in housing, regeneration, schools and highways and transport</li>
</ul>
","The Brighton & Hove City Council budget for 2019/20 was set at Budget Council on Thursday 28 February. The budget includes an increase of the council’s element of council tax of 2.99%","Council and democracy"
"34821","<p>At an extraordinary meeting this evening Brighton &amp; Hove City Councillors voted to approve the appointment of Cllr Tracey Hill to the position of Chair of Housing &amp; New Homes Committee and as a Board member of Homes for Brighton and Hove - a joint venture partnership with Hyde Housing delivering much needed affordable homes in the city.</p>

<p>Cllr Nancy Platts was also appointed as Chair of the Procurement Advisory Board.</p>

<p>Councillors voted to make no other changes to special responsibility roles including the Leader, Deputy Leader, Chairs of Committees and Lead Member roles.</p>

<p>The size and revised allocation of committee seats was agreed to reflect the relative size of the four political groups.</p>

<p>Individual appointment to committees will follow notification from the groups.</p>
","Cllr Tracey Hill becomes Chair of Housing & New Homes Committee, Cllr Nancy Platts appointed Chair of the Procurement Advisory Board, no other changes made to Leader, Deputy Leader, Chairs of Committees and Lead Member roles.","Council and democracy"
"33276","<p>Our second bid to the Heritage Lottery Fund (HLF) to support the Madeira Terrace restoration has been unsuccessful. The HLF said there was nothing wrong with our bid, but they simply don’t have enough funding for all the projects that applied.</p>

<p>Cllr Dan Yates, leader of the council said “While this is disappointing, we remain positive about future funding for the Madeira Terrace.</p>

<p>“Last year’s crowd funding campaign expressed the public’s desire to restore the Madeira Terrace to their former glory and we will continue to work hard to achieve this.</p>

<p>“Even without this funding, we are still going to restore the crowdfunded three arches and explore all avenues of funding to secure the future of the historic terraces.”</p>

<p>Over the years, Brighton &amp; Hove has received a substantial share of HLF money for other heritage projects, including:</p>

<p style=""margin:0cm 0cm 10pt""><span style=""font-size:11pt""><span style=""line-height:115%""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt""><span style=""line-height:115%""></span></span></span></span></span><span style=""font-size:11pt""><span style=""line-height:115%""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt""><span style=""line-height:115%""></span></span></span></span></span></p>

<ul>
	<li style=""margin: 0cm 0cm 10pt;""><a href=""https://www.brighton-hove.gov.uk/content/press-release/national-lottery-funding-sparks-volk%E2%80%99s-railway-heritage-project"">Volk’s Railway</a>: £1.65 million</li>
	<li style=""margin: 0cm 0cm 10pt;""><a href=""https://saltdeanlido.org/funders/"">Saltdean Lido</a>: £4.7 million</li>
	<li style=""margin: 0cm 0cm 10pt;""><a href=""https://new.brighton-hove.gov.uk/content/leisure-and-libraries/parks-and-green-spaces/stanmer-park-restoration-project"">Stanmer Park restoration project</a>: £3.7 million</li>
	<li style=""margin: 0cm 0cm 10pt;""><a href=""https://new.brighton-hove.gov.uk/content/press-release/%C2%A35-million-funding-boost-royal-pavilion-estate-0"">Royal Pavilion Estate</a>: £4.99 million</li>
</ul>

<h2 style=""margin: 0cm 0cm 10pt;"">Progress continues on the crowdfunded arches</h2>

<p style=""margin: 0cm 0cm 10pt;"">We are continuing to work on the first three crowdfunded arches (at the western end of the terrace). We’re working towards an on-site start date of spring 2019.</p>

<p style=""margin: 0cm 0cm 10pt;"">At the start of January 2019, we will be opening an office and community hub in a shipping container on Madeira Drive. This space will help raise awareness of the restoration project and offer a base to raise funds during events.</p>

<h2 style=""margin: 0cm 0cm 10pt;"">Exploring all available fundraising options</h2>

<p style=""margin: 0cm 0cm 10pt;"">We will continue to seek heritage funding and other types of funding. We are also considering submitting another bid for HLF funding in March 2019.</p>

<p style=""margin: 0cm 0cm 10pt;"">The conservation deficit for restoring 60 arches is estimated at £4.8 million. A conservation deficit occurs when the existing value of a heritage asset plus the cost of bringing it back into use is greater than the value of the asset after development has been completed.</p>

<p style=""margin: 0cm 0cm 10pt;"">The HLF is the largest funder of heritage assets in the UK and so it is important we focus our efforts on gaining their support to protect and restore the terrace at the earliest opportunity. Their support would provide a strong basis on which to secure the structure and to drive restoration more rapidly. &nbsp;</p>

<p style=""margin: 0cm 0cm 10pt;"">Two raffles, organised by local campaigner Jax Atkins, have raised over £26,000. Jax is now collecting prizes for another raffle in 2019. Raffle tickets will be available from spring 2019. If you’d like to donate a prize, please contact Jax on chemicaljax@ntlworld.com</p>

<h2>How you can get involved&nbsp;</h2>

<p>There are several ways you can get involved in supporting the restoration campaign:</p>

<ul>
	<li><a href=""https://new.brighton-hove.gov.uk/news/2018/madeira-terrace-update"">Buy Madeira Terrace branded mugs and re-usable coffee cups</a>&nbsp;– perfect for Christmas gifts!</li>
	<li><a href=""https://www.facebook.com/groups/1477951252527679/"">Join volunteers at the monthly community clean-ups</a></li>
	<li><a href=""https://www.civicaepay.co.uk/BHCC/WEBPAY_PUBLIC/WEBPAY/default.aspx"">Donate to the Madeira Terrace restoration fund</a></li>
	<li>If you have any fundraising ideas, please get in touch at <a href=""mailto:madeira.terrace@brighton-hove.gov.uk"">Madeira.Terrace@brighton-hove.gov.uk</a></li>
</ul>
","Our second bid to the Heritage Lottery Fund (HLF) to support the Madeira Terrace restoration has been unsuccessful. ","Development and planning"
"33311","<p>Work is now well underway to re-build the Shelter Hall on Brighton &amp; Hove’s seafront.</p>

<p>After two years of work to demolish the original building, strengthen the historic Kings Road arches, support the upper promenade and prevent the seafront road from collapse, the new Shelter Hall is emerging from behind the hoardings.</p>

<p><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""380"" src=""https://www.youtube.com/embed/joo9S6wJn24?rel=0"" width=""380""></iframe></p>

<h2>A new venue for our world famous seafront</h2>

<p>The Hall is larger than the previous building, with two internal floors, a rotunda on top and a roof terrace. The building will also incorporate new public toilets.</p>

<p>The multi million pound project is part of the council’s Seafront Investment Programme and is being funded from government grants including a £9 million investment award from the Department for Transport’s Highways Maintenance Challenge Fund, borrowing and council money.&nbsp;</p>

<p>The new Shelter Hall will provide a fantastic new restaurant and venue for the city, with its mezzanine floor, terrace and stunning seafront views.&nbsp;</p>

<p>The Rotunda and roof terrace on the upper prom will house a new café.&nbsp;</p>

<p>The public toilets will be located on the lower promenade, where a new walkway and seafront wall has already been created. The busy West Street junction is also being remodelled to help people and traffic flow more smoothly.</p>

<p>Expressions of interest in the two new business premises can be submitted from February next year.</p>

<p>Cllr Gill Mitchell, chair of the council’s Environment, Transport and Sustainability Committee said: “Following two years of extensive and complex engineering work to strengthen the seafront road and stabilise the ground, it’s exciting to see the new Shelter Hall taking shape.</p>

<p>“The Hall and Rotunda will be fantastic additions to our world famous seafront which already attracts millions of visitors each year.”</p>

<p>The computer-generated images were provided by R H Partnership Architects (RHP).</p>
","Work is now well underway to re-build the Shelter Hall on Brighton & Hove’s seafront. Check out the latest computer-generated images of the new Shelter Hall!","Development and planning"
"33596","<p>Crest Nicholson has told Brighton &amp; Hove City Council that in the absence of an agreed Brexit deal by Government, it cannot proceed to sign the development agreement for the King Alfred project within the current proposed timeframe.&nbsp;<br />
&nbsp;<br />
Reaffirming its commitment to enter into the development agreement and to deliver the project, Crest Nicholson said it could only fully do this once a Brexit deal has been confirmed by Government and a known exit strategy is in place.&nbsp;<br />
&nbsp;<br />
Speaking after the meeting of the council’s Policy, Resources and Growth Committee, Thursday, 24 January, where Crest Nicholson’s concerns about Brexit were discussed, Leader of the Council Dan Yates said that the council was left with no other choice but to give Crest Nicholson a final deadline. He said:<br />
&nbsp;<br />
“Whilst we recognise and have sympathy with the uncertainty that Brexit brings and how challenging this is for developers who are making investment decisions, we have to see progress on the delivery of a new leisure centre complex. The council - and the people of Brighton &amp; Hove - must have serious and absolute commitment to this scheme.”<br />
&nbsp;<br />
The council’s Policy, Resources and Growth Committee unanimously voted to give Crest Nicholson a final deadline of 30 March to enter a development agreement but to still work towards completing the agreement by the end of January. If the original deadline is not met then the council will begin to explore other options alongside working with Crest to conclude an agreement by the end of March.</p>

<p>View the reports for the<a href=""https://present.brighton-hove.gov.uk/ieListDocuments.aspx?CId=912&amp;MId=8109""> Policy, Resources &amp; Growth Committee.</a> King Alfred development update is agenda item 114<br />
&nbsp;</p>
","We are working with developer Crest Nicholson and have set a deadline to complete a development agreement for the King Alfred site in Hove which will provide a new leisure complex for the city.","Development and planning"
"33751","<p>On 6 February the planning committee was ‘minded to grant’ permission to build 71 bed and study spaces in a four storey building on land at 41 and 42 Park Wall Farm cottages. The site is close to university campuses on the south side of the A27.<br />
&nbsp;</p>

<p><strong>Location</strong></p>

<p><br />
There are currently two unoccupied semi-detached flint cottages on the site. They are now in a dilapidated state and have been empty and unmaintained for some years. A request was made to Historic England in January last year to add the buildings to the ‘List of Buildings of Special Architectural or Historic Interest’ but they were not recommended for listing.&nbsp;<br />
&nbsp;<br />
Transport links are exceptionally good for the location, with the train station adjacent, the nearest bus stop two minutes’ walk away and university campuses within walking distance.<br />
&nbsp;<br />
Councillor Julie Cattell, chair of the city’s planning committee, said: “This is a good use of space and will add to the stock of purpose-built student accommodation close to where it is needed. This in turn helps to relieve pressure on houses in the city that could be occupied by families being turned into HMOs (houses in multiple occupation).”</p>

<p><strong>Sustainability</strong><br />
&nbsp;<br />
Planners worked with applicant Teckton Student Living on a revised scheme (the original proposed a larger building with 90 bedrooms) and the developer will contribute more than £85,000 towards open space. The plans will also include retention of two existing mature trees, a Wych elm and sycamore, as well as hedgerows.<br />
&nbsp;<br />
The roof of the new building will be able to take mounted solar technologies and the site will have storage for 56 cycles.&nbsp;<br />
&nbsp;<br />
<strong>Further details</strong></p>

<p><br />
<a href=""https://present.brighton-hove.gov.uk/ieListDocuments.aspx?CId=118&amp;MId=9178&amp;Ver=4"">Read the planning report</a> (agenda item number 101A) and <a href=""https://brighton-hove.public-i.tv/core/portal/home"">watch the debate</a>.</p>
","The planning committee has approved plans for new purpose-built student accommodation next to Falmer railway station..","Development and planning"
"33756","<p>An appeal against a planning enforcement notice for converting a small HMO without permission has been dismissed by the government’s planning inspector.<br />
&nbsp;<br />
The enforcement notice was issued on 15 March last year for 249 Queens Park Road in Brighton. The owner had changed its use from a small house in multiple occupation (HMO) to a large HMO.</p>

<p><strong>History</strong><br />
&nbsp;<br />
Retrospective planning permission for the eight-bedroomed HMO was refused. An appeal against the refusal was also dismissed in February 2018. At the time the planning inspector said the development provided unacceptable living conditions, particularly in the basement where there was a lack of natural light.<br />
&nbsp;<br />
A planning enforcement notice was issued in March 2018 and this was the subject of the most recent appeal.</p>

<p><strong>Planning policy and HMOs</strong><br />
&nbsp;<br />
Councillor Julie Cattell, chair of the city’s planning committee, said: “This was clearly not acceptable. Our planning policies help achieve a balance between HMOs and other types of accommodation and support decent living conditions.<br />
&nbsp;<br />
“Queens Park Road is an area where there is already a high concentration of HMOs which can have a negative impact on the environment. The inspector commented that we had good reason to refuse planning permission.”<br />
&nbsp;<br />
Planning inspector Graham Self noted, ‘there is a legitimate public interest in trying to maintain a reasonably good standard of residential environment in dwellings in Brighton.’&nbsp;<br />
&nbsp;<br />
The owner has five months to convert the property back to a smaller HMO (maximum six bedrooms).<br />
&nbsp;<br />
Find out about <a href=""https://www.brighton-hove.gov.uk/content/planning/planning-applications/planning-permission-houses-multiple-occupation"">planning permission for HMOs</a><br />
&nbsp;<br />
<strong>More information</strong></p>

<p><a href=""https://present.brighton-hove.gov.uk/Published/C00000118/M00009178/AI00072396/$AppealDecisionEnforcement249QueensParkRoad.pdfA.ps.pdf"">Read the appeal decision</a> (Latest appeal decisions were&nbsp;presented to the <a href=""https://present.brighton-hove.gov.uk/ieListDocuments.aspx?CId=118&amp;MId=9178&amp;Ver=4"">Planning Committee, 6 February,</a> agenda item 106)</p>

<p>Where are HMOs located in Brighton &amp; Hove? <a href=""https://www.brighton-hove.gov.uk/content/map-hmos-brighton-hove"">Search our map</a></p>

<p>HMOs must also be licensed. <a href=""https://www.brighton-hove.gov.uk/content/housing/general-housing/licensing-houses-multiple-occupation-hmos"">Find out more about this scheme.</a><br />
&nbsp;</p>
","A house in multiple occupation (HMO) changed to a larger HMO without planning permission will be converted back following the loss of an appeal.","Development and planning"
"34286","<p>We’re inviting residents, businesses, community organisations and landowners to give their views on future development of the Conway Street Industrial Area in Hove.&nbsp;</p>

<p><a href=""https://www.brighton-hove.gov.uk/content/planning/planning-policy/conway-street-masterplan"">Take part in the consultation</a></p>

<p>Following this initial consultation, which runs until <strong>7 April</strong>, your comments will feed into a ‘masterplan’ for the site which will help guide future development. Conway Street, near Hove Station, is one of the areas identified in our City Plan for new housing and employment space.<br />
&nbsp;<br />
The masterplan will help deliver new homes and jobs in central Hove. &nbsp;The project was awarded a £70,000 One Public Estate grant from central government so that partners can work together with the community to make sure that the future use of the site will benefit the city.&nbsp;<br />
&nbsp;<br />
We will be working with the Hove Station Neighbourhood Forum, developers, businesses and the community on the masterplan.</p>

<h2>Conway Street Industrial Area</h2>

<p>The Conway Street industrial area is made up of a mixture of buildings and roads close to Hove Station, with the railway line to the north, Ellen Street to the south and Ethel Street to the east.<br />
&nbsp;<br />
Existing commercial properties include offices, warehouses, distribution centres, some research and development companies and various industrial buildings mostly&nbsp;dating from the 1960s.<br />
&nbsp;<br />
The main depot and administrative offices for Brighton &amp; Hove Bus and Coach Company is in the area, as is the car park for Hove Station.</p>

<p>It also includes land at 1-3 Ellen Street, proposed for residential and commercial mixed-use development by Matsim Properties Ltd.&nbsp;</p>

<p>The Hove Gardens scheme is an £80 million development of:</p>

<ul>
	<li>186 flats</li>
	<li>1,317 square metres of office space</li>
	<li>228 square metres of retail</li>
</ul>

<p>The development proposal was granted planning permission on appeal by the Planning Inspector in January 2019 and will be taken into consideration as part of the wider masterplan.&nbsp;</p>

<h2>What is a masterplan?</h2>

<p>The masterplan will be a <a href=""https://www.brighton-hove.gov.uk/content/planning/planning-policy/supplementary-planning-documents-spd"">Supplementary Planning Document</a> that will provide a more detailed level of guidance to existing City Plan policies. It will help guide developers, planning officers and councillors on the best development uses for the site.<br />
&nbsp;<br />
This first stage invites views on the issues and options which will look at the size of the area to be covered and level of detail that should be put into the guidance. You can read the Issues &amp; Options Paper online, along with further information on community consultation events and <a href=""https://www.brighton-hove.gov.uk/content/planning/planning-policy/conway-street-masterplan"">how to get involved</a>, or visit one of our council offices.</p>

<h2>Hove Station Neighbourhood Forum</h2>

<p><a href=""https://www.hovestationforum.co.uk/"">The Hove Station Neighbourhood Forum</a> will also be consulting on its draft Neighbourhood Plan and hosting community events, including one where we will discuss the Issues &amp; Options paper.&nbsp;<br />
&nbsp;<br />
We will be working with the Forum to ensure the masterplan complements the neighbourhood plan.</p>

<h2>What happens after the consultation ends?</h2>

<p>We will appoint a master planning team in the spring. Consultation on the draft masterplan will follow in the autumn.</p>
","Have your say on the future of Conway Street Industrial Area - a mixture of buildings and roads close to Hove Station. It is identified in our City Plan for new housing and employment space. Your comments will contribute to a ‘masterplan’ to help guide future development. ","Development and planning"
